2016-03-18 08:05:26 install dmsetup:armhf <none> 2:1.02.90-2.2
2016-03-18 08:05:26 status half-installed dmsetup:armhf 2:1.02.90-2.2
2016-03-18 08:05:26 status unpacked dmsetup:armhf 2:1.02.90-2.2
2016-03-18 08:05:26 status unpacked dmsetup:armhf 2:1.02.90-2.2
2016-03-18 08:05:26 upgrade dpkg:armhf 1.17.26 1.17.26
2016-03-18 08:05:26 status half-configured dpkg:armhf 1.17.26
2016-03-18 08:05:26 status unpacked dpkg:armhf 1.17.26
2016-03-18 08:05:26 status half-installed dpkg:armhf 1.17.26
2016-03-18 08:05:27 status half-installed dpkg:armhf 1.17.26
2016-03-18 08:05:27 status unpacked dpkg:armhf 1.17.26
2016-03-18 08:05:27 status unpacked dpkg:armhf 1.17.26
2016-03-18 08:05:27 install e2fslibs:armhf <none> 1.42.12-1.1
2016-03-18 08:05:27 status half-installed e2fslibs:armhf 1.42.12-1.1
2016-03-18 08:05:27 status unpacked e2fslibs:armhf 1.42.12-1.1
2016-03-18 08:05:27 status unpacked e2fslibs:armhf 1.42.12-1.1
2016-03-18 08:05:27 install e2fsprogs:armhf <none> 1.42.12-1.1
2016-03-18 08:05:27 status half-installed e2fsprogs:armhf 1.42.12-1.1
2016-03-18 08:05:28 status unpacked e2fsprogs:armhf 1.42.12-1.1
2016-03-18 08:05:28 status unpacked e2fsprogs:armhf 1.42.12-1.1
2016-03-18 08:05:28 install findutils:armhf <none> 4.4.2-9
2016-03-18 08:05:28 status half-installed findutils:armhf 4.4.2-9
2016-03-18 08:05:28 status unpacked findutils:armhf 4.4.2-9
2016-03-18 08:05:28 status unpacked findutils:armhf 4.4.2-9
2016-03-18 08:05:28 install gcc-4.6-base:armhf <none> 4.6.4-5+rpi1
2016-03-18 08:05:28 status half-installed gcc-4.6-base:armhf 4.6.4-5+rpi1
2016-03-18 08:05:28 status unpacked gcc-4.6-base:armhf 4.6.4-5+rpi1
2016-03-18 08:05:28 status unpacked gcc-4.6-base:armhf 4.6.4-5+rpi1
2016-03-18 08:05:28 install gcc-4.7-base:armhf <none> 4.7.3-11+rpi1
2016-03-18 08:05:28 status half-installed gcc-4.7-base:armhf 4.7.3-11+rpi1
2016-03-18 08:05:28 status unpacked gcc-4.7-base:armhf 4.7.3-11+rpi1
2016-03-18 08:05:28 status unpacked gcc-4.7-base:armhf 4.7.3-11+rpi1
2016-03-18 08:05:29 install gcc-4.8-base:armhf <none> 4.8.4-1
2016-03-18 08:05:29 status half-installed gcc-4.8-base:armhf 4.8.4-1
2016-03-18 08:05:29 status unpacked gcc-4.8-base:armhf 4.8.4-1
2016-03-18 08:05:29 status unpacked gcc-4.8-base:armhf 4.8.4-1
2016-03-18 08:05:29 install gcc-4.9-base:armhf <none> 4.9.2-10
2016-03-18 08:05:29 status half-installed gcc-4.9-base:armhf 4.9.2-10
2016-03-18 08:05:29 status unpacked gcc-4.9-base:armhf 4.9.2-10
2016-03-18 08:05:29 status unpacked gcc-4.9-base:armhf 4.9.2-10
2016-03-18 08:05:29 install grep:armhf <none> 2.20-4.1
2016-03-18 08:05:29 status half-installed grep:armhf 2.20-4.1
2016-03-18 08:05:29 status unpacked grep:armhf 2.20-4.1
2016-03-18 08:05:29 status unpacked grep:armhf 2.20-4.1
2016-03-18 08:05:29 install gzip:armhf <none> 1.6-4
2016-03-18 08:05:29 status half-installed gzip:armhf 1.6-4
2016-03-18 08:05:29 status unpacked gzip:armhf 1.6-4
2016-03-18 08:05:29 status unpacked gzip:armhf 1.6-4
2016-03-18 08:05:30 install hostname:armhf <none> 3.15
2016-03-18 08:05:30 status half-installed hostname:armhf 3.15
2016-03-18 08:05:30 status unpacked hostname:armhf 3.15
2016-03-18 08:05:30 status unpacked hostname:armhf 3.15
2016-03-18 08:05:30 install init:armhf <none> 1.22
2016-03-18 08:05:30 status half-installed init:armhf 1.22
2016-03-18 08:05:30 status unpacked init:armhf 1.22
2016-03-18 08:05:30 status unpacked init:armhf 1.22
2016-03-18 08:05:30 install init-system-helpers:all <none> 1.22
2016-03-18 08:05:30 status half-installed init-system-helpers:all 1.22
2016-03-18 08:05:30 status unpacked init-system-helpers:all 1.22
2016-03-18 08:05:30 status unpacked init-system-helpers:all 1.22
2016-03-18 08:05:30 install initramfs-tools:all <none> 0.120
2016-03-18 08:05:30 status half-installed initramfs-tools:all 0.120
2016-03-18 08:05:30 status unpacked initramfs-tools:all 0.120
2016-03-18 08:05:30 status unpacked initramfs-tools:all 0.120
2016-03-18 08:05:30 install initscripts:armhf <none> 2.88dsf-59
2016-03-18 08:05:30 status half-installed initscripts:armhf 2.88dsf-59
2016-03-18 08:05:30 status unpacked initscripts:armhf 2.88dsf-59
2016-03-18 08:05:30 status unpacked initscripts:armhf 2.88dsf-59
2016-03-18 08:05:31 install insserv:armhf <none> 1.14.0-5
2016-03-18 08:05:31 status half-installed insserv:armhf 1.14.0-5
2016-03-18 08:05:31 status unpacked insserv:armhf 1.14.0-5
2016-03-18 08:05:31 status unpacked insserv:armhf 1.14.0-5
2016-03-18 08:05:31 install klibc-utils:armhf <none> 2.0.4-2+rpi1
2016-03-18 08:05:31 status half-installed klibc-utils:armhf 2.0.4-2+rpi1
2016-03-18 08:05:31 status unpacked klibc-utils:armhf 2.0.4-2+rpi1
2016-03-18 08:05:31 status unpacked klibc-utils:armhf 2.0.4-2+rpi1
2016-03-18 08:05:31 install kmod:armhf <none> 18-3
2016-03-18 08:05:31 status half-installed kmod:armhf 18-3
2016-03-18 08:05:31 status unpacked kmod:armhf 18-3
2016-03-18 08:05:31 status unpacked kmod:armhf 18-3
2016-03-18 08:05:31 install libacl1:armhf <none> 2.2.52-2
2016-03-18 08:05:31 status half-installed libacl1:armhf 2.2.52-2
2016-03-18 08:05:31 status unpacked libacl1:armhf 2.2.52-2
2016-03-18 08:05:31 status unpacked libacl1:armhf 2.2.52-2
2016-03-18 08:05:31 install libattr1:armhf <none> 1:2.4.47-2
2016-03-18 08:05:31 status half-installed libattr1:armhf 1:2.4.47-2
2016-03-18 08:05:31 status unpacked libattr1:armhf 1:2.4.47-2
2016-03-18 08:05:31 status unpacked libattr1:armhf 1:2.4.47-2
2016-03-18 08:05:32 install libaudit-common:all <none> 1:2.4-1
2016-03-18 08:05:32 status half-installed libaudit-common:all 1:2.4-1
2016-03-18 08:05:32 status unpacked libaudit-common:all 1:2.4-1
2016-03-18 08:05:32 status unpacked libaudit-common:all 1:2.4-1
2016-03-18 08:05:32 install libaudit1:armhf <none> 1:2.4-1
2016-03-18 08:05:32 status half-installed libaudit1:armhf 1:2.4-1
2016-03-18 08:05:32 status unpacked libaudit1:armhf 1:2.4-1
2016-03-18 08:05:32 status unpacked libaudit1:armhf 1:2.4-1
2016-03-18 08:05:32 install libblkid1:armhf <none> 2.25.2-6
2016-03-18 08:05:32 status half-installed libblkid1:armhf 2.25.2-6
2016-03-18 08:05:32 status unpacked libblkid1:armhf 2.25.2-6
2016-03-18 08:05:32 status unpacked libblkid1:armhf 2.25.2-6
